netstrain	pxy1	varcorCSYM	Pxy[Mpa]
0.7950	0.5682	95.0244	568.2157
0.8000	0.5711	94.9788	571.0762
0.8050	0.5752	94.9331	575.2415
0.8100	0.5780	94.8440	578.0378
0.8150	0.5822	94.8330	582.1999
0.8200	0.5850	94.8717	585.0272
0.8250	0.5892	94.7357	589.1916
0.8300	0.5920	94.8424	592.0479
0.8350	0.5962	94.8187	596.1681
0.8400	0.5991	94.7194	599.0529
0.8450	0.6032	94.8808	603.1771
0.8500	0.6060	94.7218	606.0305
0.8550	0.6102	94.7202	610.1517
0.8600	0.6130	94.6241	613.0045
0.8650	0.6172	94.6646	617.1827
0.8700	0.6200	94.6149	619.9546
0.8750	0.6242	94.6304	624.1983
0.8800	0.6269	94.5830	626.9479
0.8850	0.6311	94.6984	631.1349
0.8900	0.6340	94.6543	634.0304
0.8950	0.6381	94.5207	638.1209
0.9000	0.6409	94.5840	640.8991
0.9050	0.6451	94.6005	645.0667
0.9100	0.6477	94.5638	647.7306
0.9150	0.6520	94.5542	652.0391
0.9200	0.6548	94.5672	654.7501
0.9250	0.6590	94.4935	659.0320
0.9300	0.6618	94.5696	661.7817
0.9350	0.6661	94.6079	666.0535
0.9400	0.6686	94.5280	668.6500
0.9450	0.6728	94.4638	672.7859
0.9500	0.6756	94.5221	675.6252
0.9550	0.6798	94.5018	679.8094
0.9600	0.6827	94.5096	682.6565
0.9650	0.6867	94.4594	686.7490
0.9700	0.6896	94.5149	689.6257
0.9750	0.6937	94.5223	693.7310
0.9800	0.6966	94.5010	696.6378
0.9850	0.7007	94.5941	700.7488
0.9900	0.7035	94.5619	703.5461
0.9950	0.7071	94.4722	707.1311
1.0000	0.7101	94.4382	710.0783
1.0050	0.7141	94.4061	714.1295
1.0100	0.7171	94.4040	717.0705
1.0150	0.7211	94.4237	721.1191
1.0200	0.7241	94.4431	724.0537
1.0250	0.7281	94.4765	728.1194
1.0300	0.7311	94.4011	731.0591
1.0350	0.7352	94.4005	735.1548
1.0400	0.7380	94.4052	738.0462
1.0450	0.7421	94.3493	742.1373
1.0500	0.7450	94.3810	745.0334
1.0550	0.7492	94.4046	749.1584
1.0600	0.7520	94.3404	752.0323
1.0650	0.7562	94.2504	756.1610
1.0700	0.7590	94.3097	759.0346
1.0750	0.7631	94.2702	763.1414
1.0800	0.7661	94.3269	766.0646
1.0850	0.7702	94.3517	770.1658
1.0900	0.7731	94.3205	773.0655
