netstrain	pxy1	varcorCSYM	Pxy[Mpa]
0.0050	0.0042	97.7175	4.1689
0.0100	0.0076	97.7141	7.6384
0.0150	0.0112	97.6823	11.1580
0.0200	0.0146	97.7500	14.6005
0.0250	0.0182	97.7228	18.1891
0.0300	0.0216	97.6708	21.6206
0.0350	0.0252	97.6341	25.1610
0.0400	0.0287	97.6660	28.6743
0.0450	0.0322	97.6835	32.1914
0.0500	0.0357	97.7177	35.6619
0.0550	0.0392	97.7356	39.2032
0.0600	0.0427	97.6615	42.6916
0.0650	0.0462	97.6963	46.2345
0.0700	0.0497	97.7087	49.7488
0.0750	0.0533	97.6404	53.2792
0.0800	0.0567	97.6070	56.7371
0.0850	0.0603	97.5964	60.2953
0.0900	0.0637	97.6296	63.7495
0.0950	0.0673	97.5401	67.2635
0.1000	0.0707	97.5179	70.7396
0.1050	0.0743	97.5667	74.3440
0.1100	0.0778	97.4974	77.7688
0.1150	0.0813	97.5627	81.3460
0.1200	0.0848	97.5309	84.7956
0.1250	0.0884	97.4798	88.3577
0.1300	0.0918	97.5554	91.8136
0.1350	0.0954	97.4916	95.3707
0.1400	0.0988	97.5120	98.8120
0.1450	0.1024	97.4329	102.3760
0.1500	0.1058	97.5072	105.8162
0.1550	0.1094	97.4686	109.4220
0.1600	0.1128	97.4332	112.8015
0.1650	0.1164	97.4397	116.4256
0.1700	0.1198	97.4280	119.8001
0.1750	0.1234	97.4525	123.4350
0.1800	0.1268	97.4290	126.8225
0.1850	0.1305	97.4403	130.4713
0.1900	0.1338	97.3916	133.8491
0.1950	0.1375	97.4766	137.4810
0.2000	0.1409	97.4052	140.8794
0.2050	0.1445	97.4003	144.5313
0.2100	0.1479	97.4221	147.8752
0.2150	0.1515	97.3726	151.5293
0.2200	0.1549	97.3912	154.8868
0.2250	0.1586	97.3965	158.5600
0.2300	0.1619	97.3634	161.8954
0.2350	0.1656	97.3288	165.5989
0.2400	0.1689	97.2360	168.9112
0.2450	0.1726	97.2269	172.6303
0.2500	0.1759	97.2860	175.9209
0.2550	0.1797	97.2345	179.6540
0.2600	0.1830	97.2850	182.9573
0.2650	0.1867	97.2699	186.7011
0.2700	0.1899	97.2400	189.9500
